starts-851;Class;PhysicalObject;
starts-852;Class;PhysicalObject;
starts-854;Class;PhysicalObject;
starts-855;Class;PhysicalObject;
starts-856;Class;PhysicalObject;
starts-857;Class;PhysicalObject;
starts-871;Class;PhysicalObject;
starts-872;Class;PhysicalObject;
starts-874;Class;PhysicalObject;
starts-873;Class;PhysicalObject;
starts-875;Class;PhysicalObject;
starts-876;Class;PhysicalObject;
starts-879;Class;PhysicalObject;
starts-878;Class;PhysicalObject;
starts-877;Class;PhysicalObject;
starts-487;Class;PhysicalObject;
starts-488;Class;PhysicalObject;
starts-904d;Class;PhysicalObject;
starts-486;Class;PhysicalObject;
starts-904c;Class;PhysicalObject;
starts-904b;Class;PhysicalObject;
starts-904e;Class;PhysicalObject;
starts-904a;Class;PhysicalObject;
starts-484;Class;PhysicalObject;
starts-5104;Class;PhysicalObject;
starts-823;Class;PhysicalObject;
starts-803;Class;PhysicalObject;
starts-52;Class;PhysicalObject;
starts-954a;Class;PhysicalObject;
starts-954b;Class;PhysicalObject;
starts-822;Class;PhysicalObject;
li851;Class;Sensor;
percentage;Class;UnitOfMeasure;
li851;ObjectProperty;canMeasureIn;percentage
li851;ObjectProperty;isContainedIn;starts-851
li857;Class;Sensor;
percentage;Class;UnitOfMeasure;
li857;ObjectProperty;canMeasureIn;percentage
li857;ObjectProperty;isContainedIn;starts-857
li852;Class;Sensor;
percentage;Class;UnitOfMeasure;
li852;ObjectProperty;canMeasureIn;percentage
li852;ObjectProperty;isContainedIn;starts-852
li854;Class;Sensor;
percentage;Class;UnitOfMeasure;
li854;ObjectProperty;canMeasureIn;percentage
li854;ObjectProperty;isContainedIn;starts-854
li855;Class;Sensor;
percentage;Class;UnitOfMeasure;
li855;ObjectProperty;canMeasureIn;percentage
li855;ObjectProperty;isContainedIn;starts-855
li856;Class;Sensor;
percentage;Class;UnitOfMeasure;
li856;ObjectProperty;canMeasureIn;percentage
li856;ObjectProperty;isContainedIn;starts-856
li878;Class;Sensor;
percentage;Class;UnitOfMeasure;
li878;ObjectProperty;canMeasureIn;percentage
li878;ObjectProperty;isContainedIn;starts-878
li876;Class;Sensor;
percentage;Class;UnitOfMeasure;
li876;ObjectProperty;canMeasureIn;percentage
li876;ObjectProperty;isContainedIn;starts-876
li872;Class;Sensor;
percentage;Class;UnitOfMeasure;
li872;ObjectProperty;canMeasureIn;percentage
li872;ObjectProperty;isContainedIn;starts-872
li875;Class;Sensor;
percentage;Class;UnitOfMeasure;
li875;ObjectProperty;canMeasureIn;percentage
li875;ObjectProperty;isContainedIn;starts-875
li873;Class;Sensor;
percentage;Class;UnitOfMeasure;
li873;ObjectProperty;canMeasureIn;percentage
li873;ObjectProperty;isContainedIn;starts-873
li871;Class;Sensor;
percentage;Class;UnitOfMeasure;
li871;ObjectProperty;canMeasureIn;percentage
li871;ObjectProperty;isContainedIn;starts-871
li879;Class;Sensor;
percentage;Class;UnitOfMeasure;
li879;ObjectProperty;canMeasureIn;percentage
li879;ObjectProperty;isContainedIn;starts-879
li874;Class;Sensor;
percentage;Class;UnitOfMeasure;
li874;ObjectProperty;canMeasureIn;percentage
li874;ObjectProperty;isContainedIn;starts-874
li877;Class;Sensor;
percentage;Class;UnitOfMeasure;
li877;ObjectProperty;canMeasureIn;percentage
li877;ObjectProperty;isContainedIn;starts-877
li487;Class;Sensor;
percentage;Class;UnitOfMeasure;
li487;ObjectProperty;canMeasureIn;percentage
li487;ObjectProperty;isContainedIn;starts-487
li488;Class;Sensor;
percentage;Class;UnitOfMeasure;
li488;ObjectProperty;canMeasureIn;percentage
li488;ObjectProperty;isContainedIn;starts-488
li484;Class;Sensor;
percentage;Class;UnitOfMeasure;
li484;ObjectProperty;canMeasureIn;percentage
li484;ObjectProperty;isContainedIn;starts-484
li904b;Class;Sensor;
percentage;Class;UnitOfMeasure;
li904b;ObjectProperty;canMeasureIn;percentage
li904b;ObjectProperty;isContainedIn;starts-904b
li904e;Class;Sensor;
percentage;Class;UnitOfMeasure;
li904e;ObjectProperty;canMeasureIn;percentage
li904e;ObjectProperty;isContainedIn;starts-904e
li904d;Class;Sensor;
percentage;Class;UnitOfMeasure;
li904d;ObjectProperty;canMeasureIn;percentage
li904d;ObjectProperty;isContainedIn;starts-904d
li904c;Class;Sensor;
percentage;Class;UnitOfMeasure;
li904c;ObjectProperty;canMeasureIn;percentage
li904c;ObjectProperty;isContainedIn;starts-904c
li904a;Class;Sensor;
percentage;Class;UnitOfMeasure;
li904a;ObjectProperty;canMeasureIn;percentage
li904a;ObjectProperty;isContainedIn;starts-904a
li486;Class;Sensor;
percentage;Class;UnitOfMeasure;
li486;ObjectProperty;canMeasureIn;percentage
li486;ObjectProperty;isContainedIn;starts-486
li5104;Class;Sensor;
percentage;Class;UnitOfMeasure;
li5104;ObjectProperty;canMeasureIn;percentage
li5104;ObjectProperty;isContainedIn;starts-5104
li823;Class;Sensor;
percentage;Class;UnitOfMeasure;
li823;ObjectProperty;canMeasureIn;percentage
li823;ObjectProperty;isContainedIn;starts-823
li822;Class;Sensor;
percentage;Class;UnitOfMeasure;
li822;ObjectProperty;canMeasureIn;percentage
li822;ObjectProperty;isContainedIn;starts-822
li954b;Class;Sensor;
percentage;Class;UnitOfMeasure;
li954b;ObjectProperty;canMeasureIn;percentage
li954b;ObjectProperty;isContainedIn;starts-954b
li803;Class;Sensor;
percentage;Class;UnitOfMeasure;
li803;ObjectProperty;canMeasureIn;percentage
li803;ObjectProperty;isContainedIn;starts-803
li52;Class;Sensor;
percentage;Class;UnitOfMeasure;
li52;ObjectProperty;canMeasureIn;percentage
li52;ObjectProperty;isContainedIn;starts-52
li954a;Class;Sensor;
percentage;Class;UnitOfMeasure;
li954a;ObjectProperty;canMeasureIn;percentage
li954a;ObjectProperty;isContainedIn;starts-954a
